month,height,latitude,logtitude,2013,2014,2015,2016
1,100,19,155,1.46E+11,1.59E+11,1.58E+11,1.44E+11
2,100,19,155,1.59E+11,1.72E+11,1.64E+11,1.57E+11
3,100,19,155,1.72E+11,1.97E+11,1.84E+11,1.69E+11
4,100,19,155,1.76E+11,2.04E+11,1.88E+11,1.72E+11
5,100,19,155,1.78E+11,2.06E+11,1.88E+11,1.72E+11
6,100,19,155,1.84E+11,2.11E+11,1.90E+11,1.73E+11
7,100,19,155,1.84E+11,2.09E+11,1.87E+11,1.70E+11
8,100,19,155,1.87E+11,2.09E+11,1.87E+11,1.70E+11
9,100,19,155,1.84E+11,2.00E+11,1.81E+11,1.65E+11
10,100,19,155,1.81E+11,1.92E+11,1.77E+11,1.60E+11
11,100,19,155,1.74E+11,1.82E+11,1.68E+11,1.54E+11
12,100,19,155,1.56E+11,1.63E+11,1.49E+11,1.42E+11
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
