Year,height,latitude,logtitude,hour,1,5,10,15,20,25,30
2016,140,19,155,0,1.63E+11,1.64E+11,1.64E+11,1.64E+11,1.58E+11,1.58E+11,1.58E+11
2016,140,19,155,1,1.69E+11,1.69E+11,1.69E+11,1.69E+11,1.65E+11,1.64E+11,1.64E+11
2016,140,19,155,2,1.70E+11,1.71E+11,1.70E+11,1.70E+11,1.66E+11,1.66E+11,1.65E+11
2016,140,19,155,3,1.67E+11,1.68E+11,1.68E+11,1.68E+11,1.62E+11,1.62E+11,1.62E+11
2016,140,19,155,4,1.60E+11,1.62E+11,1.62E+11,1.63E+11,1.53E+11,1.54E+11,1.54E+11
2016,140,19,155,5,1.53E+11,1.57E+11,1.59E+11,1.60E+11,1.40E+11,1.43E+11,1.45E+11
2016,140,19,155,6,1.43E+11,1.50E+11,1.53E+11,1.56E+11,1.21E+11,1.24E+11,1.27E+11
2016,140,19,155,7,1.46E+11,1.55E+11,1.59E+11,1.58E+11,9.00E+10,9.15E+10,9.22E+10
2016,140,19,155,8,8.76E+10,9.07E+10,9.01E+10,8.54E+10,4.79E+10,4.62E+10,4.35E+10
2016,140,19,155,9,1.19E+10,1.07E+10,8.08E+09,4.83E+09,2.26E+09,1.98E+09,1.89E+09
2016,140,19,155,10,1.22E+09,1.18E+09,1.13E+09,1.08E+09,1.03E+09,9.82E+08,9.35E+08
2016,140,19,155,11,6.89E+08,6.76E+08,6.59E+08,6.41E+08,6.23E+08,6.06E+08,5.89E+08
2016,140,19,155,12,5.09E+08,5.03E+08,4.96E+08,4.89E+08,4.82E+08,4.75E+08,4.68E+08
2016,140,19,155,13,4.43E+08,4.41E+08,4.37E+08,4.34E+08,4.31E+08,4.27E+08,4.24E+08
2016,140,19,155,14,4.28E+08,4.26E+08,4.24E+08,4.22E+08,4.20E+08,4.19E+08,4.17E+08
2016,140,19,155,15,4.66E+08,4.63E+08,4.60E+08,4.57E+08,4.54E+08,4.51E+08,4.49E+08
2016,140,19,155,16,5.71E+08,5.65E+08,5.58E+08,5.52E+08,5.46E+08,5.40E+08,5.35E+08
2016,140,19,155,17,8.67E+08,8.51E+08,8.34E+08,8.18E+08,8.03E+08,7.89E+08,7.78E+08
2016,140,19,155,18,1.73E+09,1.69E+09,1.64E+09,1.60E+09,1.56E+09,1.52E+09,1.49E+09
2016,140,19,155,19,2.93E+10,2.96E+10,2.77E+10,2.55E+10,1.80E+10,1.72E+10,1.66E+10
2016,140,19,155,20,1.10E+11,1.17E+11,1.16E+11,1.13E+11,8.53E+10,8.57E+10,8.71E+10
2016,140,19,155,21,1.59E+11,1.72E+11,1.73E+11,1.71E+11,1.21E+11,1.22E+11,1.26E+11
2016,140,19,155,22,1.50E+11,1.60E+11,1.61E+11,1.62E+11,1.32E+11,1.33E+11,1.35E+11
2016,140,19,155,23,1.57E+11,1.61E+11,1.61E+11,1.61E+11,1.49E+11,1.48E+11,1.48E+11
2016,140,19,155,24,1.63E+11,1.64E+11,1.64E+11,1.64E+11,1.58E+11,1.58E+11,1.58E+11
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
